bookId,title,authors,averageRating,isbn,isbn13,languageCode,numPages,ratingsCount,textReviewsCount,publicationDate,publisher,createdAt,updatedAt
1382,The Odyssey,Homer/Robert Fitzgerald/D.S. Carne-Ross,3.76,374525749,9.78037E+12,eng,515,1713,179,11/5/98,Farrar  Straus and Giroux,4/15/20 11:06,4/15/20 11:06
1383,The Odyssey,Homer/Richmond Lattimore,3.76,60931957,9.78006E+12,eng,374,1131,78,6/1/99,Harper Perennial,4/15/20 11:06,4/15/20 11:06
1384,The Odyssey,Homer/E.V. Rieu/Peter Jones/D.C.H. Rieu,3.76,140449116,9.78014E+12,eng,324,2543,167,1/30/03,Penguin Classics,4/15/20 11:06,4/15/20 11:06
1387,The Odyssey,Homer/W.H.D. Rouse,3.76,451527364,9.78045E+12,eng,304,262,24,8/1/99,Signet Classics,4/15/20 11:06,4/15/20 11:06
1391,Aeneid: Selections from Books 1  2  4  6  10  12,Virgil/Barbara Weiden Boyd,4.35,086516584X,9.78087E+12,eng,161,69,6,1/1/01,Bolchazy-Carducci Publishers,4/15/20 11:06,4/15/20 11:06
1402,Eclogues. Georgics. Aeneid: Books 1-6,Virgil/Henry Rushton Fairclough/G.P. Goold,4.22,067499583X,9.78067E+12,mul,607,414,10,10/1/99,Harvard University Press,4/15/20 11:06,4/15/20 11:06
1403,City Eclogue,Ed Roberson,4.13,1891190237,9.78189E+12,eng,136,67,7,1/30/06,Atelos Press,4/15/20 11:06,4/15/20 11:06
1405,The Eclogues and The Georgics,Virgil/Cecil Day-Lewis,3.8,192837680,9.78019E+12,eng,180,259,15,9/2/99,Oxford University Press,4/15/20 11:06,4/15/20 11:06
1408,Paul Kirk's Championship Barbecue Sauces: 175 Make-Your-Own Sauces  Marinades  Dry Rubs  Wet Rubs  Mops and Salsas,Paul  Kirk,3.94,155832125X,9.78156E+12,eng,272,55,0,12/3/97,Harvard Common Press,4/15/20 11:06,4/15/20 11:06
1417,The Complete Pelican Shakespeare,William Shakespeare/Stephen Orgel/A.R. Braunmuller,4.5,141000589,9.78014E+12,eng,1808,578,25,11/7/02,Viking,4/15/20 11:06,4/15/20 11:06
1419,The Complete Works,William Shakespeare,4.5,517092948,9.78052E+12,eng,1248,62,6,10/13/91,Gramercy,4/15/20 11:06,4/15/20 11:06
1420,Hamlet,William Shakespeare/Harold Bloom/Rex Gibson,4.02,521618746,9.78052E+12,eng,289,609271,7139,8/1/05,Cambridge University Press,4/15/20 11:06,4/15/20 11:06
1423,The Compleat Works of Wllm Shkspr (abridged),Reduced Shakespeare Company/Adam Long/Daniel Singer/Jess Winfield,4.44,1557831572,9.78156E+12,eng,137,8159,118,2/1/94,Applause Books,4/15/20 11:06,4/15/20 11:06
1424,The Pilgrimage: A Contemporary Quest for Ancient Wisdom,Paulo Coelho/Alan R. Clarke,3.64,006251279X,9.78006E+12,en-US,272,888,92,5/1/95,HarperOne,4/15/20 11:06,4/15/20 11:06
1425,The Valkyries,Paulo Coelho/Alan R. Clarke,3.31,62513346,9.78006E+12,en-US,212,1204,79,9/28/96,HarperOne,4/15/20 11:06,4/15/20 11:06
1426,Warrior of the Light,Paulo Coelho,3.7,60527986,9.78006E+12,en-US,142,22662,945,3/30/04,HarperOne,4/15/20 11:06,4/15/20 11:06
1427,The Zahir,Paulo Coelho/Margaret Jull Costa,3.57,60832819,9.78006E+12,eng,336,58917,2575,7/3/06,HarperOne,4/15/20 11:06,4/15/20 11:06
1428,By the River Piedra I Sat Down and Wept,Paulo Coelho/Alan R. Clarke,3.57,61122092,9.78006E+12,eng,208,70760,2702,5/23/06,HarperOne,4/15/20 11:06,4/15/20 11:06
1429,The Fifth Mountain,Paulo Coelho/Clifford E. Landers,3.62,60930136,9.78006E+12,en-US,256,1415,68,4/26/00,HarperOne,4/15/20 11:06,4/15/20 11:06
